,BRAC University,,,,,,,,
,Consultation Hour Planner,,,,,,,,
,,Faculty:,#N/A,,Initial,MNW,,,
,,Programme:,CSE,,Semester:,Fall 2025,,,
,,Email:,#N/A,,#N/A,#N/A,,,
,,,,,,,,,
,8:00 AM,9:30 AM,11:00 AM,12:30 PM,2:00 PM,3:30 PM,5:00 PM,6:00 PM,7:30 PM
Saturday,,,,,,,,,
Sunday,"CSE221-02 (LAB)
CSAB,MNW
09F-26L","CSE221-02 (LAB)
CSAB,MNW
09F-26L","CSE221-03 (LAB)
AYO,MNW
09F-26L","CSE221-03 (LAB)
AYO,MNW
09F-26L","CSE221-20 (LAB)
MNW,CMZH
09F-25L","CSE221-20 (LAB)
MNW,CMZH
09F-25L",,,
Monday,,Consultation,"CSE421-14 (LAB)
MNW,CMHQ
09E-22L,CSE421-24 (LAB)
MNW,CMHQ
09E-22L","CSE421-14 (LAB)
MNW,CMHQ
09E-22L,CSE421-24 (LAB)
MNW,CMHQ
09E-22L","CSE421-22 (LAB)
MNW,AHA
09E-22L,CSE421-23 (LAB)
MNW,AHA
09E-22L","CSE421-22 (LAB)
MNW,AHA
09E-22L,CSE421-23 (LAB)
MNW,AHA
09E-22L",,,
Tuesday,"CSE421-25 (LAB)
MNW,AHA
09F-25L,CSE421-26 (LAB)
MNW,AHA
09F-25L","CSE421-25 (LAB)
MNW,AHA
09F-25L,CSE421-26 (LAB)
MNW,AHA
09F-25L","CSE111-17 (LAB)
MNW,CSAB
09B-10L","CSE111-17 (LAB)
MNW,CSAB
09B-10L",,,,,
Wednesday,Consultation,Consultation,Consultation,Consultation,"CSE111-19 (LAB)
ANK,MNW
09F-24L","CSE111-19 (LAB)
ANK,MNW
09F-24L",,,
Thursday,,,,,,,,,
Friday,,,,,,,,,
**Each slot is of 1 hour 20 minutes,,,,,,,,,
**You can edit this footnote,,,,,,,,,
