,BRAC University,,,,,,,,
,Consultation Hour Planner,,,,,,,,
,,Faculty:,Dr. Md Sadek Ferdous,,Initial,SDF,,,
,,Programme:,CSE,,Semester:,Fall 2025,,,
,,Email:,sadek.ferdous@bracu.ac.bd,,Room:,4G10,,,
,,,,,,,,,
,8:00 AM,9:30 AM,11:00 AM,12:30 PM,2:00 PM,3:30 PM,5:00 PM,6:00 PM,7:30 PM
Saturday,,,,,,,,,
Sunday,,,,,,,Consultation,"CSE721-01
09H-33C","CSE721-01
09H-33C"
Monday,,,"CSE446-01
10B-16C",Consultation,,Thesis (UG),,,
Tuesday,,,Thesis (UG),Thesis (UG),Thesis (UG),,,,
Wednesday,,,"CSE446-01
10B-16C",Thesis (UG),Thesis (UG),Thesis (UG),,,
Thursday,,,,Consultation,Thesis (UG),Thesis (UG),,,
Friday,,,,,,,,,
**Each slot is of 1 hour 20 minutes,,,,,,,,,
**You can edit this footnote,,,,,,,,,
