,BRAC University,,,,,,,,
,Consultation Hour Planner,,,,,,,,
,,Faculty:,Dr. Md. Ashraful Alam,,Initial,ASA,,,
,,Programme:,CSE,,Semester:,Spring 2026,,,
,,Email:,ashraful.alam@bracu.ac.bd,,Room:,4G24,,,
,,,,,,,,,
,8:00 AM,9:30 AM,11:00 AM,12:30 PM,2:00 PM,3:30 PM,5:00 PM,6:00 PM,7:30 PM
Saturday,,,,,Consultation,"CSE463-01
10B-16C",,,
Sunday,,,,Consultation,Consultation,"CSE360-01
09C-16T,CSE360-02
09C-16T,CSE360-03
09C-16T",,,
Monday,,,,,,,,,
Tuesday,,,,Consultation,Consultation,"CSE360-01
09C-16T,CSE360-02
09C-16T,CSE360-03
09C-16T",,,
Wednesday,,,,,Thesis (PG),,Consultation,"CSE754-01
09A-01C","CSE754-01
09A-01C"
Thursday,,,,,Consultation,"CSE463-01
10B-16C",,,
Friday,,,,,,,,,
**Each slot is of 1 hour 20 minutes,,,,,,,,,
**You can edit this footnote,,,,,,,,,
