,BRAC University,,,,,,,,
,Consultation Hour Planner,,,,,,,,
,,Faculty:,Ehtashamul Haque,,Initial,EHQ,,,
,,Programme:,CSE,,Semester:,Spring 2026,,,
,,Email:,ehtashamul.haque@bracu.ac.bd,,Seat:,4N168,,,
,,,,,,,,,
,8:00 AM,9:30 AM,11:00 AM,12:30 PM,2:00 PM,3:30 PM,5:00 PM,6:00 PM,7:30 PM
Saturday,,,,,,,,,
Sunday,,,,"CSE428-04
09A-04C",Consultation,"CSE430-01
10B-16C",Consultation,,
Monday,,,"CSE428-02 (LAB)
EHQ,UTS
10G-33L","CSE428-02 (LAB)
EHQ,UTS
10G-33L","CSE430-01 (LAB)
EHQ,TAV
12D-26L","CSE430-01 (LAB)
EHQ,TAV
12D-26L",,,
Tuesday,,,,"CSE428-04
09A-04C",Consultation,"CSE430-01
10B-16C",Consultation,,
Wednesday,,,,,,,,,
Thursday,,,,,,,,,
Friday,,,,,,,,,
**Each slot is of 1 hour 20 minutes,,,,,,,,,
**You can edit this footnote,,,,,,,,,
