,BRAC University,,,,,,,,
,Consultation Hour Planner,,,,,,,,
,,Faculty:,Dr. Farida Chowdhury,,Initial,FDC,,,
,,Programme:,CSE,,Semester:,Spring 2026,,,
,,Email:,farida.chowdhury@bracu.ac.bd,,Room:,4G09,,,
,,,,,,,,,
,8:00 AM,9:30 AM,11:00 AM,12:30 PM,2:00 PM,3:30 PM,5:00 PM,6:00 PM,7:30 PM
Saturday,,,,,,,,,
Sunday,,,,,,,,,
Monday,,,"CSE421-03
10B-16C",,"CSE472-01
10B-16C",,,,
Tuesday,,,,,,,,,
Wednesday,,,"CSE421-03
10B-16C",,"CSE472-01
10B-16C",,,,
Thursday,,,,,,,,,
Friday,,,,,,,,,
**Each slot is of 1 hour 20 minutes,,,,,,,,,
**You can edit this footnote,,,,,,,,,
