,BRAC University,,,,,,,,
,Consultation Hour Planner,,,,,,,,
,,Faculty:,Mr. Md. Saiful Islam,,Initial,MSI,,,
,,Programme:,CSE,,Semester:,Spring 2026,,,
,,Email:,md.saiful.islam@bracu.ac.bd,,Room:,4G12,,,
,,,,,,,,,
,8:00 AM,9:30 AM,11:00 AM,12:30 PM,2:00 PM,3:30 PM,5:00 PM,6:00 PM,7:30 PM
Saturday,,,,,,,,,
Sunday,,,"CSE110-02
10A-10C","CSE110-03
10A-10C",Consultation,"CSE110-04
10A-10C",,,
Monday,,,,,Consultation,"CSE110-01
10A-04C",,,
Tuesday,,,"CSE110-02
10A-10C","CSE110-03
10A-10C",Consultation,"CSE110-04
10A-10C",,,
Wednesday,"CSE110-02 (LAB)
MSI,SMUR
09B-08L","CSE110-02 (LAB)
MSI,SMUR
09B-08L","CSE110-04 (LAB)
MSI,CAKM
09B-10L","CSE110-04 (LAB)
MSI,CAKM
09B-10L",Consultation,"CSE110-01
10A-04C",,,
Thursday,Research,Research,Research,Research,Research,Research,,,
Friday,,,,,,,,,
**Each slot is of 1 hour 20 minutes,,,,,,,,,
**You can edit this footnote,,,,,,,,,
