,BRAC University,,,,,,,,
,Consultation Hour Planner,,,,,,,,
,,Faculty:,Rafiad Sadat Shahir,,Initial,RSS,,,
,,Programme:,CSE,,Semester:,Spring 2026,,,
,,Email:,rafiad.shahir@bracu.ac.bd,,Seat:,4N154,,,
,,,,,,,,,
,8:00 AM,9:30 AM,11:00 AM,12:30 PM,2:00 PM,3:30 PM,5:00 PM,6:00 PM,7:30 PM
Saturday,,,,,,,,,
Sunday,,"CSE331-07
09G-31T,CSE331-08
09G-31T,CSE331-09
09G-31T","CSE422-19 (LAB)
ZHS,RSS
09F-26L","CSE422-19 (LAB)
ZHS,RSS
09F-26L",,,,,
Monday,,"CSE422-15
09H-33C","CSE422-13 (LAB)
ZHS,RSS
09F-24L","CSE422-13 (LAB)
ZHS,RSS
09F-24L",,,,,
Tuesday,,"CSE331-07
09G-31T,CSE331-08
09G-31T,CSE331-09
09G-31T",Consultation,Consultation,,,,,
Wednesday,,"CSE422-15
09H-33C",Consultation,Consultation,,,,,
Thursday,,,,,,,,,
Friday,,,,,,,,,
,,,,,,,,,
**RED slot indicates an occupied slot; You cannot put consultation or take a weekend on that slot / day,,,,,,,,,
