,BRAC University,,,,,,,,
,Consultation Hour Planner,,,,,,,,
,,Faculty:,Sowmitra Das,,Initial,SDAS,,,
,,Programme:,CSE,,Semester:,Spring 2026,,,
,,Email:,sowmitra.das@bracu.ac.bd,,Seat:,4N142,,,
,,,,,,,,,
,8:00 AM,9:30 AM,11:00 AM,12:30 PM,2:00 PM,3:30 PM,5:00 PM,6:00 PM,7:30 PM
Saturday,,,,,,,,,
Sunday,,,,,"CSE490C-01
07H-27C","CSE402-01
09B-12C",,,
Monday,,,,,,,,,
Tuesday,,,,,"CSE490C-01
07H-27C","CSE402-01
09B-12C",,,
Wednesday,,,,,,,,,
Thursday,,,"CSE402-01 (LAB)
SDAS,NFS
09B-10L","CSE402-01 (LAB)
SDAS,NFS
09B-10L","CSE490C-01 (LAB)
SDAS,NFS
12D-26L","CSE490C-01 (LAB)
SDAS,NFS
12D-26L",,,
Friday,,,,,,,,,
**Each slot is of 1 hour 20 minutes,,,,,,,,,
**You can edit this footnote,,,,,,,,,
