,BRAC University,,,,,,,,
,Consultation Hour Planner,,,,,,,,
,,Faculty:,Dr. Taiabul Haque,,Initial,TLQ,,,
,,Programme:,CSE,,Semester:,Spring 2026,,,
,,Email:,taiabul.haque@bracu.ac.bd,,Room:,4G01,,,
,,,,,,,,,
,8:00 AM,9:30 AM,11:00 AM,12:30 PM,2:00 PM,3:30 PM,5:00 PM,6:00 PM,7:30 PM
Saturday,,,,,,,,,
Sunday,,,,,,,,,
Monday,,,,,,"CSE490B-01
10A-05C",Consultation,"CSE726-01
09A-02C","CSE726-01
09A-02C"
Tuesday,,,,,,,,,
Wednesday,,,,,,"CSE490B-01
10A-05C",Consultation,"CSE773-01
09A-04C","CSE773-01
09A-04C"
Thursday,,,,,,,,,
Friday,,,,,,,,,
**Each slot is of 1 hour 20 minutes,,,,,,,,,
**You can edit this footnote,,,,,,,,,
