,BRAC University,,,,,,,,
,Consultation Hour Planner,,,,,,,,
,,Faculty:,Dr. Md. Khalilur Rahman,,Initial,KHR,,,
,,Programme:,CSE,,Semester:,Summer 2026,,,
,,Email:,khalilur@bracu.ac.bd,,Room:,4G08,,,
,,,,,,,,,
,8:00 AM,9:30 AM,11:00 AM,12:30 PM,2:00 PM,3:30 PM,5:00 PM,6:00 PM,7:30 PM
Saturday,,,,,,,,,
Sunday,,,,,,,,,
Monday,,,,,,"CSE461-01
09C-16T,CSE461-02
09C-16T,CSE461-03
09C-16T",,,
Tuesday,,,"CSE461-03 (LAB)
RDW,KHR
12B-18L","CSE461-03 (LAB)
RDW,KHR
12B-18L",,,,,
Wednesday,,,"CSE461-09 (LAB)
RFF,KHR
12B-18L","CSE461-09 (LAB)
RFF,KHR
12B-18L",,"CSE461-01
09C-16T,CSE461-02
09C-16T,CSE461-03
09C-16T",,,
Thursday,,,,,,,,,
Friday,,,,,,,,,
**Each slot is of 1 hour 20 minutes,,,,,,,,,
**You can edit this footnote,,,,,,,,,
