,BRAC University,,,,,,,,
,Consultation Hour Planner,,,,,,,,
,,Faculty:,Dr. Muhammad Iqbal Hossain,,Initial,MIH,,,
,,Programme:,CSE,,Semester:,Summer 2026,,,
,,Email:,iqbal.hossain@bracu.ac.bd,,Room:,4G22,,,
,,,,,,,,,
,8:00 AM,9:30 AM,11:00 AM,12:30 PM,2:00 PM,3:30 PM,5:00 PM,6:00 PM,7:30 PM
Saturday,,,,,,,,,
Sunday,,,"CSE471-14
10B-16C",,"CSE447-01
09E-20T ,CSE447-02
09E-20T ,CSE447-03
09E-20T",,,,
Monday,,,,,,,,,
Tuesday,,,"CSE471-14
10B-16C",,"CSE447-01
09E-20T ,CSE447-02
09E-20T ,CSE447-03
09E-20T",,,"CSE721-01
08H-25C","CSE721-01
08H-25C"
Wednesday,,,,,,,,,
Thursday,,,,,,,,,
Friday,,,,,,,,,
**Each slot is of 1 hour 20 minutes,,,,,,,,,
**You can edit this footnote,,,,,,,,,
