,BRAC University,,,,,,,,
,Consultation Hour Planner,,,,,,,,
,,Faculty:,Naima Tahsin Nodi,,Initial,NNTN,,,
,,Programme:,CSE,,Semester:,Summer 2026,,,
,,Email:,naima.tahsin@bracu.ac.bd,,Seat:,4P185,,,
,,,,,,,,,
,8:00 AM,9:30 AM,11:00 AM,12:30 PM,2:00 PM,3:30 PM,5:00 PM,6:00 PM,7:30 PM
Saturday,,,"CSE370-15
09B-12C","CSE101-06
09B-12C",Consultation by Appointment,,,,
Sunday,,,"CSE260-16A (LAB)
NNTN,LMI
FT11-01L","CSE260-16A (LAB)
NNTN,LMI
FT11-01L","CSE260-16B (LAB)
NNTN,CABS
FT11-01L","CSE260-16B (LAB)
NNTN,CABS
FT11-01L",,,
Monday,,,,,,,,,
Tuesday,,,,,,,,,
Wednesday,"CSE330-04 (LAB)
CSSD,NNTN
09F-26L","CSE330-04 (LAB)
CSSD,NNTN
09F-26L","CSE260-04B (LAB)
NNTN,MAZW
FT10-04L","CSE260-04B (LAB)
NNTN,MAZW
FT10-04L",Consultation,Consultation,,,
Thursday,,,"CSE370-15
09B-12C","CSE101-06
09B-12C",Consultation by Appointment,,,,
Friday,,,,,,,,,
**Each slot is of 1 hour 20 minutes,,,,,,,,,
**You can edit this footnote,,,,,,,,,
