,BRAC University,,,,,,,,
,Consultation Hour Planner,,,,,,,,
,,Faculty:,Maheer Helal,,Initial,CMHH,,,
,,Programme:,CSE,,Semester:,Summer 2026,,,
,,Email:,ext.maheer.helal@bracu.ac.bd,,Seat:,4F,,,
,,,,,,,,,
,8:00 AM,9:30 AM,11:00 AM,12:30 PM,2:00 PM,3:30 PM,5:00 PM,6:00 PM,7:30 PM
Saturday,"CSE101-05 (LAB)
CMHH,SLAR
FT11-03L","CSE101-05 (LAB)
CMHH,SLAR
FT11-03L",Consultation,Consultation by Appointment,"CSE103-02 (LAB)
CMHH,ANT
FT11-04L","CSE103-02 (LAB)
CMHH,ANT
FT11-04L",,,
Sunday,"CSE427-03 (LAB)
CMHH,RKBM
09F-27L","CSE427-03 (LAB)
CMHH,RKBM
09F-27L","CSE422-05 (LAB)
FFU,CMHH
12F-31L","CSE422-05 (LAB)
FFU,CMHH
12F-31L",,,,,
Monday,"CSE341-10 (LAB)
RAHA,CMHH
12F-30L","CSE341-10 (LAB)
RAHA,CMHH
12F-30L",Consultation,Consultation by Appointment,"CSE461-04 (LAB)
CMHH,MHSK
12B-18L","CSE461-04 (LAB)
CMHH,MHSK
12B-18L",,,
Tuesday,,,"CSE427-09 (LAB)
CMHH,HFN
09F-24L","CSE427-09 (LAB)
CMHH,HFN
09F-24L",,,,,
Wednesday,,,,,,,,,
Thursday,,,,,,,,,
Friday,,,,,,,,,
**Each slot is of 1 hour 20 minutes,,,,,,,,,
**You can edit this footnote,,,,,,,,,
